"Revised  NEET-UG  Counselling Seats Allotment -2025 Round 3","","","","","","","","","","","","","","","",""
"Round 1","","","","","Round 2","","","","","Round 3","","","","","",""
"Rank","Allotted Quota","Allotted Institute","Course","Remarks","Allotted Quota","Allotted Institute","Course","Remarks","Allotted Quota","","Allotted Institute","Course","Alloted Category","candidate Category","option No.","Remarks"
"29876","-","-","-","-","-","-","-","-","All India","Government Medical College, Ramanathapuram,No 1, Pattinamkathan, Collectorate Backside,  Ramanathapuram., Tamil Nadu, 623503","MBBS","EWS","EWS","217","Fresh Allotted in 3nd Round",""
"29880","All India","TAMILNADU GOVT D.C. & HOSP, CHENNAI","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"29886","-","-","-","-","All India","GOVT. DENTAL COLLEGE, KOZIKODE","BDS","Reported","-","-","-","-","-","-","No Upgradation",""
"29896","All India","DR. R. AHMED DENT.COLL & HOSP,KOLKATA","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"29923","-","-","-","-","-","-","-","-","All India","Govt. Medical College Karur,SANAPIRATTI VILLAGE NORTH GANDHIGRAMAM KARUR TAMILNADU, Tamil Nadu, 639004","MBBS","EWS","EWS","179","Fresh Allotted in 3nd Round",""
"29940","Delhi University Quota","Maulana Azad Institute of Dental Sciences, New Delhi","BDS","Reported","-","-","-","-","-","-","-","-","-","-","No Upgradation",""
"29941","-","-","-","-","-","-","-","-","All India","Government Medical College, Kallakurichi ,S.NO 251, AGARAKOTTALAM ROAD, SIRUVANGUR,
KALLAKURICHI, Tamil Nadu, 606213","MBBS","EWS","EWS","344","Fresh Allotted in 3nd Round",""
"29944","-","-","-","-","-","-","-","-","All India","Government Medical College, Dindigul,1 Nallampatti Road Adiyanoothu village Dindigul, Tamil Nadu, 624003","MBBS","EWS","EWS","371","Fresh Allotted in 3nd Round",""
"29946","-","-","-","-","-","-","-","-","Open Seat Quota","IMS BHU Dental, Varanasi,Institute of Medical Sciences, Banaras Hindu University, Uttar Pradesh, 221105","BDS","OBC","OBC","444","Fresh Allotted in 3nd Round",""
"29950","Open Seat Quota","AIIMS Bathinda","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"29961","Deemed/ Paid Seats Quota","SYMBIOSIS MEDICAL COLLEGE FOR WOMEN
PUNE(Female Seat only )","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"29972","Deemed/ Paid Seats Quota","SYMBIOSIS MEDICAL COLLEGE FOR WOMEN
PUNE(Female Seat only )","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"29975","-","-","-","-","-","-","-","-","All India","Government Medical College, Dindigul,1 Nallampatti Road Adiyanoothu village Dindigul, Tamil Nadu, 624003","MBBS","EWS","EWS","403","Fresh Allotted in 3nd Round",""
"29977","-","-","-","-","-","-","-","-","All India","Government Medical College, Nilgiris,No. 1, INDU  NAGAR, MYSORE ROAD, UDHAGAMANDALAM, NILGIRIS DISTRICT, Tamil Nadu, 643005","MBBS","EWS","EWS","281","Fresh Allotted in 3nd Round",""
"29984","All India","FACULTY OF DEN SCI, KG MED UNIV,LUCKNOW","BDS","Not Reported","All India","FACULTY OF DEN SCI, KG MED UNIV,LUCKNOW","BDS","Reported","-","-","-","-","-","-","No Upgradation",""
"29987","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Gulbarga","MBBS","Not Reported","Employee s State Insurance Scheme( ESI)","Government Medical College and ESIC Hospital, Coimbatore","MBBS","Reported","-","-","-","-","-","-","Did not opt for Upgradation.",""
"29992","-","-","-","-","Open Seat Quota","IMS BHU Dental, Varanasi","BDS","Not Reported","-","-","-","-","-","-","Did not fill up fresh choices.",""
"29997","-","-","-","-","-","-","-","-","All India","Government Medical College, Kallakurichi ,S.NO 251, AGARAKOTTALAM ROAD, SIRUVANGUR,
KALLAKURICHI, Tamil Nadu, 606213","MBBS","EWS","EWS","383","Fresh Allotted in 3nd Round",""
"29998","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30005","All India","Government Dental College, Alappuzha","BDS","Not Reported","All India","GOVT. DENTAL COLLEGE, TRIVANDRUM","BDS","Not Reported","All India","GOVT. DENTAL COLLEGE,
TRIVANDRUM,Govt Dental College Thiruvananthapuram Kerala, Kerala, 695011","BDS","Open","OBC","11","Fresh Allotted in 3nd Round",""
"30006","-","-","-","-","-","-","-","-","All India","NORTH BENGAL DENT.COLL,SUSHRUTNAGA R,P.O SHUSHRUTA NAGAR, DIST. DARJEELING,, West
Bengal, 734012","BDS","Open","OBC","359","Fresh Allotted in 3nd Round",""
"30008","All India","KURNOOL MEDICAL COLLEGE, KURNOOL","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30009","Employee s State Insurance Scheme( ESI)","ESIC PGIMSR, Joka,
Kolkata, WB","MBBS","Reported","-","-","-","-","Employee s State Insurance Scheme( ESI)","ESI-MC&PGIMS&R,
Banglore,ESICMC AND PGIMSR, Rajajinagar, Bengaluru, Karnataka, 560010","MBBS","Open","EWS","3","Upgraded",""
"30037","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Gulbarga","MBBS","Reported","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Hyderbad","MBBS","Reported","-","-","-","-","-","-","No Upgradation",""
"30041","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Hyderbad","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","No Upgradation",""
"30042","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30052","All India","GOVT. DENTAL COLLEGE & HOSP,AHMEDABAD","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Not Allotted.",""
"30063","Delhi University Quota","Maulana Azad Institute of Dental Sciences, New Delhi","BDS","Reported","-","-","-","-","-","-","-","-","-","-","No Upgradation",""
"30081","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30087","B.Sc
Nursing All India","College of Nursing BHU, VARANASI","B.Sc. Nursing","Not Reported","B.Sc
Nursing All India","College of Nursing BHU, VARANASI","B.Sc. Nursing","Reported","-","-","-","-","-","-","No Upgradation",""
"30117","Open Seat Quota","AIIMS, Kalyani","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30119","Open Seat Quota","IMS BHU Dental, Varanasi","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30124","-","-","-","-","-","-","-","-","All India","FACULTY OF DEN SCI, KG MED UNIV,LUCKNOW,SHAHMINA ROAD, CHOWK,LUCKNOW,
Uttar Pradesh, 226003","BDS","EWS","EWS","46","Fresh Allotted in 3nd Round",""
"30141","-","-","-","-","All India","GOVT. COLLEGE OF DENTISTRY, INDORE","BDS","Not Reported","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30150","Employee s State Insurance Scheme( ESI)","ESIC PGIMSR, Joka,
Kolkata, WB","MBBS","Reported","-","-","-","-","Employee s State Insurance Scheme( ESI)","ESIC, Medical College and Hospital,Indore,ESIC, Medical College and Hospital, Nanda Nagar, Indore, Madhya Pradesh","MBBS","Open","OBC","75","Upgraded",""
"30158","Open Seat Quota","AIIMS, Gorakhpur","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30159","All India","Government Dental College, Alappuzha","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30162","-","-","-","-","All India","GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK","BDS","Not Reported","-","-","-","-","-","-","Not Allotted.",""
"30175","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Gulbarga","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","No Upgradation",""
"30187","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Not Reported","Deemed/ Paid Seats Quota","Institute of Medical Sciences and SUM Host., Bhubaneswar","MBBS","Not Reported","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30213","IP
University Quota","ESIC Dental College and Hospital","BDS","Not Reported","Delhi University Quota","Maulana Azad Institute of Dental Sciences, New Delhi","BDS","Reported","-","-","-","-","-","-","No Upgradation",""
"30228","All India","ESIC Medical College, Hyderbad","MBBS","Not Reported","-","-","-","-","All India","GUNTUR MEDICAL COLLEGE,
GUNTUR,Kannavarithoa Opp. NGOs Association Building, Andhra Pradesh, 522004","MBBS","SC","SC","5","Fresh Allotted in 3nd Round",""
"30260","Open Seat Quota","Faculty of Dentistry, Jamia Millia Islamia, New Delhi","BDS","Reported","Delhi University Quota","Maulana Azad Institute of Dental Sciences, New Delhi","BDS","Reported","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30273","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","No Upgradation",""
"30281","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30295","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Hyderbad","MBBS","Reported","Employee s State Insurance Scheme( ESI)","ESIC Medical College AND PGIMSR, Chennai","MBBS","Reported","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30296","-","-","-","-","-","-","-","-","Open Seat Quota","Dr. Ziauddin Ahmed Dental College and Hospital,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002","BDS","Open","OBC","22","Fresh Allotted in 3nd Round",""
"30299","-","-","-","-","All India","AGARTALA GOVT. DENTAL COLLEGE,AGARTAL","BDS","Not Reported","-","-","-","-","-","-","Not Allotted.",""
"30303","Deemed/ Paid Seats Quota","JSS Medical College, Mysuru","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30304","Open Seat Quota","AIIMS Jammu","MBBS","Reported","-","-","-","-","Open Seat Quota","AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001,
Himachal Pradesh, 174001","MBBS","SC","SC","1","Upgraded",""
"30308","All India","GOVT. DENTAL COLLEGE & HOSP.,MUMBAI","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Not Allotted.",""
"30313","All India","KGMC, LUCKNOW","MBBS","Reported","Open Seat Quota","AIIMS, Patna","MBBS","Reported","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30315","Open Seat Quota","AIIMS, Rai Bareli","MBBS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30322","Open Seat Quota","IMS BHU Dental, Varanasi","BDS","Reported","-","-","-","-","-","-","-","-","-","-","No Upgradation",""
"30330","All India","TAMILNADU GOVT D.C. & HOSP, CHENNAI","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Not Allotted.",""
"30342","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Hyderbad","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30371","-","-","-","-","-","-","-","-","All India","DR. R. AHMED DENT.COLL & HOSP,KOLKATA,114 AJC
BOSE ROAD, West Bengal, 700014","BDS","Open","OBC","59","Fresh Allotted in 3nd Round",""
"30376","Deemed/ Paid Seats Quota","Manipal Tata Medical College,","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","No Upgradation",""
"30388","-","-","-","-","Delhi University Quota","Maulana Azad Institute of Dental Sciences, New Delhi","BDS","Reported","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30400","-","-","-","-","-","-","-","-","B.Sc
Nursing All India","College of Nursing Ahilya Bai College of Nursing, Maulana Azad Medical College,Ahilya Bai College of Nursing
Lok Nayak Hospital Jawaharlal Nehru Marg, Delhi (NCT), 110002 (Female Seat only )","B.Sc. Nursing","Open","OBC","246","Fresh Allotted in 3nd Round",""
"30402","-","-","-","-","Deemed/ Paid Seats Quota","SYMBIOSIS MEDICAL COLLEGE FOR WOMEN
PUNE(Female Seat only )","MBBS","Reported","-","-","-","-","-","-","No Upgradation",""
"30404","-","-","-","-","All India","DC, RIMS, Imphal","BDS","Not Reported","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30407","All India","SARDAR PATEL MEDICAL COLLEGE, BIKANER","MBBS","Reported","Open Seat Quota","AIIMS Rajkot","MBBS","Reported","-","-","-","-","-","-","No Upgradation",""
"30420","All India","Burdwan Dental College & Hospital, Burdwan","BDS","Not Reported","All India","PATNA DENTAL COLLEGE & HOSPITAL, PATNA","BDS","Not Reported","-","-","-","-","-","-","Not Allotted.",""
"30429","All India","GOVT. DENTAL COLL.& HOSP., JAMNAGAR","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Not Allotted.",""
"30433","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Gulbarga","MBBS","Reported","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Hyderbad","MBBS","Reported","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30448","All India","DR.S.N. MEDICAL COLLEGE, JODHPUR","MBBS","Seat Surrendered","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30453","Deemed/ Paid Seats Quota","SYMBIOSIS MEDICAL COLLEGE FOR WOMEN
PUNE(Female Seat only )","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30468","All India","RUHS College of Medical Sciences, Jaipur","MBBS","Not Reported","Open Seat Quota","AIIMS Jammu","MBBS","Reported","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30469","Open Seat Quota","Faculty of Dentistry, Jamia Millia Islamia, New Delhi","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30475","-","-","-","-","All India","Burdwan Dental College & Hospital, Burdwan","BDS","Not Reported","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30481","-","-","-","-","Open Seat Quota","IMS BHU Dental, Varanasi","BDS","Reported","-","-","-","-","-","-","No Upgradation",""
"30485","All India","GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK","BDS","Reported","-","-","-","-","All India","RUHS College of Dental Science, Jaipur,Ruhs College of dental science , johtwara road jaipur, Rajasthan, 302016","BDS","OBC","OBC","146","Upgraded",""
"30490","Open Seat Quota","AIIMS Guwahati","MBBS","Not Reported","-","-","-","-","All India","GOVT. MEDICAL COLLEGE,AURANGABAD,Go
vernment Medical College, Aurangabad, Jubli Park, Panchakki Road, Aurangabad (M.S.)., Maharashtra, 431001","MBBS","SC","SC","4","Fresh Allotted in 3nd Round",""
"30494","Employee s State Insurance Scheme( ESI)","ESIC PGIMSR, Joka,
Kolkata, WB","MBBS","Reported","Employee s State Insurance Scheme( ESI)","ESI-MC&PGIMS&R,
Banglore","MBBS","Reported","-","-","-","-","-","-","No Upgradation",""
"30495","Open Seat Quota","AIIMS Jammu","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30497","All India","PATNA DENTAL COLLEGE & HOSPITAL, PATNA","BDS","Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30507","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30530","Deemed/ Paid Seats Quota","Manipal Tata Medical College,","MBBS","Reported","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Reported","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30534","B.Sc
Nursing All India","College of Nursing BHU, VARANASI","B.Sc. Nursing","Reported","-","-","-","-","-","-","-","-","-","-","No Upgradation",""
"30551","All India","RUHS College of Medical Sciences, Jaipur","MBBS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30556","All India","GOVT DENTAL COLLEGE
Kannur","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Not Allotted.",""
"30571","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30577","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Mangalore","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30583","-","-","-","-","-","-","-","-","Open Seat Quota","Faculty of Dentistry, Jamia Millia Islamia, New Delhi,Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025","BDS","Open","OBC","443","Fresh Allotted in 3nd Round",""
"30589","IP
University Quota","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30594","All India","FACULTY OF DEN SCI, KG MED UNIV,LUCKNOW","BDS","Seat Surrendered","-","-","-","-","-","-","-","-","-","-","Not Allotted.",""
"30600","Open Seat Quota","Dr. Ziauddin Ahmed Dental College and Hospital,ALIGARH","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Not Allotted.",""
"30611","All India","Rajah Muthiah Dental College and Hos. , Annamalai","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30633","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30636","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30642","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Gulbarga","MBBS","Reported","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Hyderbad","MBBS","Reported","Employee s State Insurance Scheme( ESI)","ESIC, Medical College and Hospital,Indore,ESIC, Medical College and Hospital, Nanda Nagar, Indore, Madhya Pradesh","MBBS","OBC","OBC","6","Upgraded",""
"30657","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30675","All India","THOOTHUKUDI MEDICAL COLLEGE,THOOTHUKUDI","MBBS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30682","All India","Rajah Muthiah Dental College and Hos. , Annamalai","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Not Allotted.",""
"30706","Open Seat Quota","Faculty of Dentistry, Jamia Millia Islamia, New Delhi","BDS","Not Reported","Open Seat Quota","IMS BHU Dental, Varanasi","BDS","Reported","-","-","-","-","-","-","No Upgradation",""
"30715","All India","KARNATAK INST. OF MEDICAL SC.,HUBLI","MBBS","Reported","All India","GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI","MBBS","Not Reported","All India","GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ
Group of HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008","MBBS","SC","SC","1","Fresh Allotted in 3nd Round",""
"30719","Delhi University Quota","Maulana Azad Institute of Dental Sciences, New Delhi","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30726","Open Seat Quota","IMS BHU Dental, Varanasi","BDS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30739","-","-","-","-","Open Seat Quota","IMS BHU Dental, Varanasi","BDS","Reported","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30741","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Gulbarga","MBBS","Reported","Employee s State Insurance Scheme( ESI)","ESIC Medical College AND PGIMSR, Chennai","MBBS","Reported","-","-","-","-","-","-","No Upgradation",""
"30750","-","-","-","-","Deemed/ Paid Seats Quota","MGM Medical College, Aurangabad","MBBS","Not Reported","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30765","Deemed/ Paid Seats Quota","SYMBIOSIS MEDICAL COLLEGE FOR WOMEN
PUNE(Female Seat only )","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","No Upgradation",""
"30780","Open Seat Quota","AIIMS Rajkot","MBBS","Reported","All India","B.J. MEDICAL COLLEGE, AHMEDABAD","MBBS","Seat Surrendered","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30784","Open Seat Quota","AIIMS Guwahati","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30790","Open Seat Quota","Dr. Ziauddin Ahmed Dental College and Hospital,ALIGARH","BDS","Not Reported","-","-","-","-","All India","Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN.
PURBA BARDHAMAN. W.B-
713101, West Bengal, 713101","BDS","Open","OBC","249","Fresh Allotted in 3nd Round",""
"30794","Open Seat Quota","AIIMS Guwahati","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30796","Deemed/ Paid Seats Quota","SYMBIOSIS MEDICAL COLLEGE FOR WOMEN
PUNE(Female Seat only )","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30868","-","-","-","-","-","-","-","-","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal,Madhav Nagar, Manipal, Karnataka State India, Karnataka, 576104","MBBS","Open","General","1","Fresh Allotted in 3nd Round",""
"30902","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Gulbarga","MBBS","Reported","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Hyderbad","MBBS","Reported","Employee s State Insurance Scheme( ESI)","ESIC MEDICAL COLLEGE NARODA, BAPUNAGR,AHMEDABAD,BA PUNAGAR, NEAR NARODA RAILWAY CROSING, HIMMATNAGAR HIGHWAY,PO KUBERNAGAR","MBBS","Open","OBC","5","Upgraded",""
"30906","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30912","-","-","-","-","-","-","-","-","All India","TAMILNADU GOVT D.C. & HOSP, CHENNAI,No. 1, TNPSC SALAI, PARK TOWN, CHENNAI   600003, Tamil
Nadu, 600003","BDS","Open","OBC","31","Fresh Allotted in 3nd Round",""
"30917","Delhi University Quota","Maulana Azad Institute of Dental Sciences, New Delhi","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Not Allotted.",""
"30918","Employee s State Insurance Scheme( ESI)","ESIC PGIMSR, Joka,
Kolkata, WB","MBBS","Reported","Employee s State Insurance Scheme( ESI)","ESIC Medical College & Hospital, Bihta","MBBS","Reported","Employee s State Insurance Scheme( ESI)","ESIC Medical College and Hospital Varanasi,ESIC Medical College and Hospital, Pndeypur Varanasii","MBBS","Open","General","5","Upgraded",""
"30919","Open Seat Quota","IMS BHU Dental, Varanasi","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30921","All India","GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Not Allotted.",""
"30922","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Gulbarga","MBBS","Reported","-","-","-","-","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Hyderbad,Sanathnagar, Hyderabad, Telangana, 500038","MBBS","Open","General","6","Upgraded",""
"30923","-","-","-","-","Open Seat Quota","Faculty of Dentistry, Jamia Millia Islamia, New Delhi","BDS","Seat Surrendered","-","-","-","-","-","-","Not Allotted.",""
"30927","Open Seat Quota","Dr. Ziauddin Ahmed Dental College and Hospital,ALIGARH","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30933","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30945","All India","ESIC Dental College and Hospital","BDS","Not Reported","Open Seat Quota","IMS BHU Dental, Varanasi","BDS","Reported","-","-","-","-","-","-","No Upgradation",""
"30951","Open Seat Quota","IMS BHU Dental, Varanasi","BDS","Reported","-","-","-","-","-","-","-","-","-","-","No Upgradation",""
"30958","All India","GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK","BDS","Not Reported","All India","Government DentalCollege and Hospital Paithna Bhaganbigha Rahui Nalanda","BDS","Not Reported","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30961","Employee s State Insurance Scheme( ESI)","ESIC PGIMSR, Joka,
Kolkata, WB","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"30966","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"30997","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"31007","Open Seat Quota","AIIMS Mangalagiri","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"31014","Deemed/ Paid Seats Quota","Kasturba Medical College, Manipal Univ., Manipal","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"31016","-","-","-","-","Open Seat Quota","IMS BHU Dental, Varanasi","BDS","Not Reported","-","-","-","-","-","-","Not Allotted.",""
"31018","All India","GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"31024","Deemed/ Paid Seats Quota","SYMBIOSIS MEDICAL COLLEGE FOR WOMEN
PUNE(Female Seat only )","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","No Upgradation",""
"31029","-","-","-","-","-","-","-","-","All India","PB. GOVT. DENTAL COLLEGE & HOSP,AMRITSAR,SSSS
Chowk Majitha Road, Amritsar, Punjab, 143001","BDS","Open","OBC","47","Fresh Allotted in 3nd Round",""
"31044","Open Seat Quota","Faculty of Dentistry, Jamia Millia Islamia, New Delhi","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"31052","Open Seat Quota","IMS BHU Dental, Varanasi","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Not Allotted.",""
"31057","-","-","-","-","Employee s State Insurance Scheme( ESI)","ESIC Medical College AND PGIMSR, Chennai","MBBS","Reported","-","-","-","-","-","-","No Upgradation",""
"31071","All India","Jawaharlal Nehru Institute of Dental Sciences, Imphal","BDS","Not Reported","-","-","-","-","-","-","-","-","-","-","Not Allotted.",""
"31074","-","-","-","-","B.Sc
Nursing All India","College of Nursing LHMC, New Delhi(Female Seat only )","B.Sc. Nursing","Reported","-","-","-","-","-","-","No Upgradation",""
"31077","IP
University Quota","Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI","MBBS","Reported","-","-","-","-","-","-","-","-","-","-","Did not opt for Upgradation.",""
"31078","All India","GOVT. MEDICAL COLLEGE,TIRUNELVELI","MBBS","Not Reported","-","-","-","-","-","-","-","-","-","-","Did not fill up fresh choices.",""
"31086","-","-","-","-","All India","G.S.V.M. MEDICAL COLLEGE, KANPUR","MBBS","Reported","-","-","-","-","-","-","Did not opt for Upgradation.",""
